Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
2015,2015,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",35.91,a,35.91,a
2016,2016,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",138.7,a,138.7,a
2016,2016,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",436.73,a,436.73,a
2016,2016,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,11604,a,11604,a
2016,2016,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1702.92,a,1702.92,a
2016,2016,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3786.9,a,3786.9,a
2016,2016,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,4237.4,a,4237.4,a
2016,2016,AB,Alberta,Alberta,Over 100 000,Over 100 000,485123.6,a,485123.6,a
2016,2016,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",26.79,a,26.79,a
2017,2017,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",96.88,a,96.88,a
2017,2017,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",274.19,a,274.19,a
2017,2017,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,30562,a,30562,a
2017,2017,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1719.13,a,1719.13,a
2017,2017,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",6659.4,a,6659.4,a
2017,2017,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,9897.2,a,9897.2,a
2017,2017,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",24.51,a,24.51,a
2018,2018,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",114.05,a,114.05,a
2018,2018,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",450.88,a,450.88,a
2018,2018,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1704.49,a,1704.49,a
2018,2018,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3347.34,a,3347.34,a
2018,2018,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,54542.06,a,54542.06,a
