,Year,Jurisdiction,Month_index,Month,Number,Area (hectares),area per fire
974,2001,New Brunswick,4,April,35,108.9,3.1114285714285717
975,2001,New Brunswick,5,May,167,353.6,2.117365269461078
976,2001,New Brunswick,6,June,43,21.7,0.5046511627906977
977,2001,New Brunswick,7,July,46,22.8,0.4956521739130435
978,2001,New Brunswick,8,August,114,191.6,1.6807017543859648
979,2001,New Brunswick,9,September,53,19.2,0.3622641509433962
980,2002,New Brunswick,10,October,10,4.3,0.43
981,2002,New Brunswick,11,November,2,6.1,3.05
982,2002,New Brunswick,4,April,31,32.0,1.032258064516129
983,2002,New Brunswick,5,May,97,190.8,1.9670103092783506
984,2002,New Brunswick,6,June,42,18.7,0.4452380952380952
985,2002,New Brunswick,7,July,37,23.5,0.6351351351351351
986,2002,New Brunswick,8,August,76,47.7,0.6276315789473684
987,2002,New Brunswick,9,September,22,2.4,0.10909090909090909
988,2003,New Brunswick,10,October,3,1.4,0.4666666666666666
989,2003,New Brunswick,4,April,16,50.1,3.13125
990,2003,New Brunswick,5,May,89,137.0,1.5393258426966292
991,2003,New Brunswick,6,June,38,30.2,0.7947368421052632
992,2003,New Brunswick,7,July,29,7.1,0.24482758620689654
993,2003,New Brunswick,8,August,26,7.9,0.3038461538461539
994,2003,New Brunswick,9,September,27,4.5,0.16666666666666666
995,2004,New Brunswick,10,October,6,0.7,0.11666666666666665
996,2004,New Brunswick,11,November,1,0.5,0.5
997,2004,New Brunswick,4,April,54,129.3,2.394444444444445
998,2004,New Brunswick,5,May,118,233.0,1.9745762711864407
999,2004,New Brunswick,6,June,41,84.5,2.0609756097560976
1000,2004,New Brunswick,7,July,14,6.3,0.45
1001,2004,New Brunswick,8,August,11,2.5,0.22727272727272727
1002,2004,New Brunswick,9,September,8,2.0,0.25
1003,2005,New Brunswick,10,October,1,0.5,0.5
1004,2005,New Brunswick,11,November,1,0.1,0.1
1005,2005,New Brunswick,4,April,134,347.7,2.594776119402985
1006,2005,New Brunswick,5,May,41,38.3,0.9341463414634146
1007,2005,New Brunswick,6,June,39,22.8,0.5846153846153846
1008,2005,New Brunswick,7,July,29,57.2,1.9724137931034484
1009,2005,New Brunswick,8,August,49,27.0,0.5510204081632653
1010,2005,New Brunswick,9,September,12,4.7,0.39166666666666666
1011,2006,New Brunswick,10,October,1,0.5,0.5
1012,2006,New Brunswick,3,March,19,38.3,2.0157894736842104
1013,2006,New Brunswick,4,April,152,360.4,2.371052631578947
1014,2006,New Brunswick,5,May,64,201.4,3.146875
1015,2006,New Brunswick,6,June,9,8.3,0.9222222222222223
1016,2006,New Brunswick,7,July,33,9.8,0.296969696969697
1017,2006,New Brunswick,8,August,22,2.9,0.1318181818181818
1018,2006,New Brunswick,9,September,8,1.0,0.125
1019,2007,New Brunswick,10,October,17,32.5,1.911764705882353
1020,2007,New Brunswick,11,November,2,1.1,0.55
1021,2007,New Brunswick,3,March,1,4.0,4.0
1022,2007,New Brunswick,4,April,66,113.0,1.7121212121212122
1023,2007,New Brunswick,5,May,130,391.9,3.0146153846153845
1024,2007,New Brunswick,6,June,31,31.4,1.0129032258064516
1025,2007,New Brunswick,7,July,21,5.2,0.24761904761904763
1026,2007,New Brunswick,8,August,33,9.7,0.29393939393939394
1027,2007,New Brunswick,9,September,15,2.2,0.14666666666666667
1028,2008,New Brunswick,10,October,2,0.3,0.15
1029,2008,New Brunswick,4,April,14,15.1,1.0785714285714285
1030,2008,New Brunswick,5,May,81,64.6,0.7975308641975308
1031,2008,New Brunswick,6,June,13,11.0,0.8461538461538461
1032,2008,New Brunswick,7,July,33,37.9,1.1484848484848484
1033,2008,New Brunswick,8,August,14,1.4,0.09999999999999999
1034,2008,New Brunswick,9,September,11,12.2,1.1090909090909091
1035,2009,New Brunswick,10,October,3,0.6,0.19999999999999998
1036,2009,New Brunswick,11,November,3,4.5,1.5
1037,2009,New Brunswick,4,April,54,93.1,1.7240740740740739
1038,2009,New Brunswick,5,May,88,133.8,1.5204545454545455
1039,2009,New Brunswick,6,June,11,5.4,0.49090909090909096
1040,2009,New Brunswick,7,July,3,0.6,0.19999999999999998
1041,2009,New Brunswick,8,August,18,11.5,0.6388888888888888
1042,2009,New Brunswick,9,September,17,4.4,0.25882352941176473
1043,2010,New Brunswick,10,October,2,3.4,1.7
1044,2010,New Brunswick,11,November,1,4.0,4.0
1045,2010,New Brunswick,3,March,3,6.5,2.1666666666666665
1046,2010,New Brunswick,4,April,47,70.5,1.5
1047,2010,New Brunswick,5,May,52,29.5,0.5673076923076923
1048,2010,New Brunswick,6,June,7,1.5,0.21428571428571427
1049,2010,New Brunswick,7,July,14,1.8,0.1285714285714286
1050,2010,New Brunswick,8,August,42,38.0,0.9047619047619048
1051,2010,New Brunswick,9,September,11,1.1,0.1
1052,2011,New Brunswick,4,April,23,18.3,0.7956521739130435
1053,2011,New Brunswick,5,May,25,10.8,0.43200000000000005
1054,2011,New Brunswick,6,June,7,6.4,0.9142857142857144
1055,2011,New Brunswick,7,July,11,1.9,0.17272727272727273
1056,2011,New Brunswick,8,August,1,0.1,0.1
1057,2012,New Brunswick,10,October,3,1.1,0.3666666666666667
1058,2012,New Brunswick,11,November,1,1.0,1.0
1059,2012,New Brunswick,3,March,8,37.0,4.625
1060,2012,New Brunswick,4,April,189,233.8,1.2370370370370372
1061,2012,New Brunswick,5,May,49,53.4,1.089795918367347
1062,2012,New Brunswick,6,June,22,13.7,0.6227272727272727
1063,2012,New Brunswick,7,July,26,8.7,0.3346153846153846
1064,2012,New Brunswick,8,August,28,9.5,0.3392857142857143
1065,2012,New Brunswick,9,September,12,2.9,0.24166666666666667
1066,2013,New Brunswick,10,October,3,13.0,4.333333333333333
1067,2013,New Brunswick,3,March,3,0.4,0.13333333333333333
1068,2013,New Brunswick,4,April,176,217.3,1.2346590909090909
1069,2013,New Brunswick,5,May,123,510.5,4.150406504065041
1070,2013,New Brunswick,6,June,7,10.6,1.5142857142857142
1071,2013,New Brunswick,7,July,34,124.1,3.65
1072,2013,New Brunswick,8,August,7,4.2,0.6
1073,2014,New Brunswick,10,October,5,3.3,0.6599999999999999
1074,2014,New Brunswick,4,April,39,22.5,0.5769230769230769
1075,2014,New Brunswick,5,May,79,65.3,0.8265822784810126
1076,2014,New Brunswick,6,June,20,10.4,0.52
1077,2014,New Brunswick,7,July,16,4.1,0.25625
1078,2014,New Brunswick,8,August,12,4.2,0.35000000000000003
1079,2014,New Brunswick,9,September,9,3.3,0.36666666666666664
1080,2015,New Brunswick,10,October,3,0.3,0.09999999999999999
1081,2015,New Brunswick,4,April,3,5.0,1.6666666666666667
1082,2015,New Brunswick,5,May,164,196.7,1.1993902439024389
1083,2015,New Brunswick,6,June,3,1.8,0.6
1084,2015,New Brunswick,7,July,22,51.2,2.3272727272727276
1085,2015,New Brunswick,8,August,11,1.7,0.15454545454545454
1086,2015,New Brunswick,9,September,15,5.6,0.3733333333333333
1087,2016,New Brunswick,10,October,7,0.7,0.09999999999999999
1088,2016,New Brunswick,4,April,151,180.7,1.1966887417218541
1089,2016,New Brunswick,5,May,55,29.2,0.5309090909090909
1090,2016,New Brunswick,6,June,25,23.9,0.956
1091,2016,New Brunswick,7,July,10,1.9,0.19
1092,2016,New Brunswick,8,August,25,24.5,0.98
1093,2016,New Brunswick,9,September,12,3.9,0.325
1094,2017,New Brunswick,10,October,33,428.7,12.99090909090909
1095,2017,New Brunswick,11,November,2,0.6,0.3
1096,2017,New Brunswick,4,April,16,19.3,1.20625
1097,2017,New Brunswick,5,May,25,3.7,0.14800000000000002
1098,2017,New Brunswick,6,June,16,2.9,0.18125
1099,2017,New Brunswick,7,July,39,58.7,1.505128205128205
1100,2017,New Brunswick,8,August,79,26.3,0.3329113924050633
1101,2017,New Brunswick,9,September,35,27.7,0.7914285714285714
1102,2018,New Brunswick,10,October,4,1.3,0.325
1103,2018,New Brunswick,4,April,37,31.2,0.8432432432432432
1104,2018,New Brunswick,5,May,124,130.9,1.0556451612903226
1105,2018,New Brunswick,6,June,34,36.8,1.0823529411764705
1106,2018,New Brunswick,7,July,40,101.6,2.54
1107,2018,New Brunswick,8,August,15,1.7,0.11333333333333333
1108,2018,New Brunswick,9,September,31,7.4,0.23870967741935484
1109,2019,New Brunswick,10,October,6,5.0,0.8333333333333334
1110,2019,New Brunswick,4,April,12,22.3,1.8583333333333334
1111,2019,New Brunswick,5,May,87,121.5,1.396551724137931
1112,2019,New Brunswick,6,June,19,18.7,0.9842105263157894
1113,2019,New Brunswick,7,July,21,17.9,0.8523809523809524
1114,2019,New Brunswick,8,August,32,40.4,1.2625
1115,2019,New Brunswick,9,September,5,1.9,0.38
1116,1990,Newfoundland and Labrador,10,October,3,0.0,0.0
1117,1990,Newfoundland and Labrador,3,March,2,1.6,0.8
1118,1990,Newfoundland and Labrador,4,April,5,17.1,3.4200000000000004
1119,1990,Newfoundland and Labrador,5,May,19,2860.7,150.56315789473683
1120,1990,Newfoundland and Labrador,6,June,36,355.7,9.880555555555555
1121,1990,Newfoundland and Labrador,7,July,29,20395.9,703.3068965517242
1122,1990,Newfoundland and Labrador,8,August,30,966.7,32.223333333333336
1123,1990,Newfoundland and Labrador,9,September,41,4.6,0.1121951219512195
1124,1991,Newfoundland and Labrador,4,April,4,1.7,0.425
1125,1991,Newfoundland and Labrador,5,May,29,220.8,7.613793103448276
1126,1991,Newfoundland and Labrador,6,June,38,6925.5,182.25
1127,1991,Newfoundland and Labrador,7,July,12,99.4,8.283333333333333
1128,1991,Newfoundland and Labrador,8,August,32,49142.6,1535.70625
1129,1992,Newfoundland and Labrador,4,April,2,2.5,1.25
1130,1992,Newfoundland and Labrador,5,May,47,71.5,1.5212765957446808
1131,1992,Newfoundland and Labrador,6,June,15,1275.5,85.03333333333333
1132,1992,Newfoundland and Labrador,7,July,13,385.9,29.684615384615384
1133,1992,Newfoundland and Labrador,8,August,26,64.8,2.4923076923076923
1134,1992,Newfoundland and Labrador,9,September,3,9.5,3.1666666666666665
1135,1993,Newfoundland and Labrador,10,October,4,2.0,0.5
1136,1993,Newfoundland and Labrador,4,April,1,5.0,5.0
1137,1993,Newfoundland and Labrador,5,May,13,15.0,1.1538461538461537
1138,1993,Newfoundland and Labrador,6,June,24,20553.5,856.3958333333334
1139,1993,Newfoundland and Labrador,7,July,5,7.0,1.4
1140,1993,Newfoundland and Labrador,8,August,13,7897.1,607.4692307692308
1141,1993,Newfoundland and Labrador,9,September,5,0.8,0.16
1142,1994,Newfoundland and Labrador,10,October,1,0.0,0.0
1143,1994,Newfoundland and Labrador,4,April,3,3.6,1.2
1144,1994,Newfoundland and Labrador,5,May,15,50.5,3.3666666666666667
1145,1994,Newfoundland and Labrador,6,June,35,1067.9,30.511428571428574
1146,1994,Newfoundland and Labrador,7,July,35,109046.2,3115.6057142857144
1147,1994,Newfoundland and Labrador,8,August,35,106.0,3.0285714285714285
1148,1994,Newfoundland and Labrador,9,September,5,0.0,0.0
1149,1995,Newfoundland and Labrador,4,April,3,9.2,3.0666666666666664
1150,1995,Newfoundland and Labrador,5,May,23,112.9,4.908695652173913
1151,1995,Newfoundland and Labrador,6,June,20,47.8,2.3899999999999997
1152,1995,Newfoundland and Labrador,7,July,14,32.7,2.335714285714286
1153,1995,Newfoundland and Labrador,8,August,23,498.4,21.669565217391302
1154,1995,Newfoundland and Labrador,9,September,3,0.1,0.03333333333333333
1155,1996,Newfoundland and Labrador,10,October,2,0.2,0.1
1156,1996,Newfoundland and Labrador,4,April,13,15.0,1.1538461538461537
1157,1996,Newfoundland and Labrador,5,May,23,44.6,1.9391304347826088
1158,1996,Newfoundland and Labrador,6,June,12,6341.6,528.4666666666667
1159,1996,Newfoundland and Labrador,7,July,4,43.1,10.775
1160,1996,Newfoundland and Labrador,8,August,48,74822.7,1558.8062499999999
1161,1996,Newfoundland and Labrador,9,September,9,43.2,4.800000000000001
1162,1997,Newfoundland and Labrador,5,May,15,61.4,4.093333333333333
1163,1997,Newfoundland and Labrador,6,June,25,8189.5,327.58
1164,1997,Newfoundland and Labrador,7,July,26,30.3,1.1653846153846155
1165,1997,Newfoundland and Labrador,8,August,11,263.1,23.91818181818182
1166,1997,Newfoundland and Labrador,9,September,1,0.4,0.4
1167,1998,Newfoundland and Labrador,10,October,1,0.0,0.0
1168,1998,Newfoundland and Labrador,4,April,1,0.0,0.0
1169,1998,Newfoundland and Labrador,5,May,94,918.2,9.76808510638298
1170,1998,Newfoundland and Labrador,6,June,55,33105.4,601.9163636363637
1171,1998,Newfoundland and Labrador,7,July,11,6117.2,556.1090909090909
1172,1998,Newfoundland and Labrador,8,August,18,20.4,1.1333333333333333
1173,1999,Newfoundland and Labrador,10,October,1,0.1,0.1
1174,1999,Newfoundland and Labrador,3,March,5,2.2,0.44000000000000006
1175,1999,Newfoundland and Labrador,4,April,10,20.1,2.0100000000000002
1176,1999,Newfoundland and Labrador,5,May,66,2880.3,43.64090909090909
1177,1999,Newfoundland and Labrador,6,June,66,35730.8,541.3757575757576
1178,1999,Newfoundland and Labrador,7,July,20,399.4,19.97
1179,1999,Newfoundland and Labrador,8,August,10,1.6,0.16
1180,1999,Newfoundland and Labrador,9,September,10,5.7,0.5700000000000001
1181,2000,Newfoundland and Labrador,0,Unspecified,25,103304.167,4132.16668
1182,2000,Newfoundland and Labrador,10,October,1,0.5,0.5
1183,2000,Newfoundland and Labrador,4,April,14,8.8,0.6285714285714287
1184,2000,Newfoundland and Labrador,5,May,34,28.7,0.8441176470588235
1185,2000,Newfoundland and Labrador,6,June,44,14.0,0.3181818181818182
1186,2000,Newfoundland and Labrador,7,July,9,3.1,0.34444444444444444
1187,2000,Newfoundland and Labrador,8,August,15,175.5,11.7
1188,2000,Newfoundland and Labrador,9,September,7,1.4,0.19999999999999998
1189,2001,Newfoundland and Labrador,0,Unspecified,2,624.688,312.344
1190,2001,Newfoundland and Labrador,1,January,1,2.0,2.0
1191,2001,Newfoundland and Labrador,10,October,5,1.5,0.3
1192,2001,Newfoundland and Labrador,12,December,1,0.1,0.1
1193,2001,Newfoundland and Labrador,5,May,30,72.8,2.4266666666666667
1194,2001,Newfoundland and Labrador,6,June,36,8.4,0.23333333333333334
1195,2001,Newfoundland and Labrador,7,July,33,107.1,3.245454545454545
1196,2001,Newfoundland and Labrador,8,August,63,135.6,2.1523809523809523
1197,2001,Newfoundland and Labrador,9,September,10,13.4,1.34
1198,2002,Newfoundland and Labrador,0,Unspecified,7,14476.346,2068.0494285714285
1199,2002,Newfoundland and Labrador,10,October,1,0.4,0.4
1200,2002,Newfoundland and Labrador,4,April,5,17.8,3.56
1201,2002,Newfoundland and Labrador,5,May,30,19.5,0.65
1202,2002,Newfoundland and Labrador,6,June,23,67.2,2.9217391304347826
1203,2002,Newfoundland and Labrador,7,July,13,190.3,14.63846153846154
1204,2002,Newfoundland and Labrador,8,August,14,12.0,0.8571428571428571
1205,2002,Newfoundland and Labrador,9,September,6,1.1,0.18333333333333335
1206,2003,Newfoundland and Labrador,0,Unspecified,14,27027.43,1930.5307142857143
1207,2003,Newfoundland and Labrador,10,October,3,1.4,0.4666666666666666
1208,2003,Newfoundland and Labrador,11,November,1,0.1,0.1
1209,2003,Newfoundland and Labrador,4,April,2,0.5,0.25
1210,2003,Newfoundland and Labrador,5,May,32,67.5,2.109375
1211,2003,Newfoundland and Labrador,6,June,45,396.5,8.811111111111112
1212,2003,Newfoundland and Labrador,7,July,6,0.0,0.0
1213,2003,Newfoundland and Labrador,8,August,16,2.1,0.13125
1214,2003,Newfoundland and Labrador,9,September,21,215.6,10.266666666666666
1215,2004,Newfoundland and Labrador,0,Unspecified,1,923.886,923.886
1216,2004,Newfoundland and Labrador,10,October,1,0.0,0.0
1217,2004,Newfoundland and Labrador,4,April,1,0.0,0.0
1218,2004,Newfoundland and Labrador,5,May,65,1198.1,18.432307692307692
1219,2004,Newfoundland and Labrador,6,June,16,18.5,1.15625
1220,2004,Newfoundland and Labrador,7,July,14,10.0,0.7142857142857143
1221,2004,Newfoundland and Labrador,8,August,23,5.5,0.2391304347826087
1222,2004,Newfoundland and Labrador,9,September,3,0.1,0.03333333333333333
1223,2005,Newfoundland and Labrador,0,Unspecified,6,18061.319,3010.219833333333
1224,2005,Newfoundland and Labrador,4,April,6,17.1,2.85
1225,2005,Newfoundland and Labrador,5,May,34,87.0,2.5588235294117645
1226,2005,Newfoundland and Labrador,6,June,31,72.6,2.3419354838709676
1227,2005,Newfoundland and Labrador,7,July,23,6.6,0.28695652173913044
1228,2005,Newfoundland and Labrador,8,August,14,3.2,0.2285714285714286
1229,2005,Newfoundland and Labrador,9,September,7,0.7,0.09999999999999999
1230,2006,Newfoundland and Labrador,0,Unspecified,3,3308.768,1102.9226666666666
1231,2006,Newfoundland and Labrador,4,April,6,28.2,4.7
1232,2006,Newfoundland and Labrador,5,May,33,89.2,2.703030303030303
1233,2006,Newfoundland and Labrador,6,June,5,34.4,6.88
1234,2006,Newfoundland and Labrador,7,July,9,3.7,0.41111111111111115
1235,2006,Newfoundland and Labrador,8,August,7,0.2,0.028571428571428574
1236,2006,Newfoundland and Labrador,9,September,3,1.1,0.3666666666666667
1237,2007,Newfoundland and Labrador,0,Unspecified,11,11258.123,1023.4657272727272
1238,2007,Newfoundland and Labrador,4,April,2,1.7,0.85
1239,2007,Newfoundland and Labrador,5,May,19,69.9,3.6789473684210527
1240,2007,Newfoundland and Labrador,6,June,17,20.8,1.223529411764706
1241,2007,Newfoundland and Labrador,7,July,10,0.2,0.02
1242,2007,Newfoundland and Labrador,8,August,1,0.0,0.0
1243,2007,Newfoundland and Labrador,9,September,6,0.2,0.03333333333333333
1244,2008,Newfoundland and Labrador,10,October,6,1.7,0.2833333333333333
1245,2008,Newfoundland and Labrador,4,April,2,3.0,1.5
1246,2008,Newfoundland and Labrador,5,May,33,77.1,2.336363636363636
1247,2008,Newfoundland and Labrador,6,June,8,0.3,0.0375
1248,2008,Newfoundland and Labrador,7,July,14,4.4,0.31428571428571433
1249,2008,Newfoundland and Labrador,8,August,2,0.0,0.0
1250,2008,Newfoundland and Labrador,9,September,7,13.5,1.9285714285714286
1251,2009,Newfoundland and Labrador,0,Unspecified,3,16335.693,5445.231
1252,2009,Newfoundland and Labrador,3,March,1,0.1,0.1
1253,2009,Newfoundland and Labrador,4,April,26,77.1,2.965384615384615
1254,2009,Newfoundland and Labrador,5,May,52,160.8,3.0923076923076924
1255,2009,Newfoundland and Labrador,6,June,27,11.9,0.44074074074074077
1256,2009,Newfoundland and Labrador,7,July,29,67.8,2.3379310344827586
1257,2009,Newfoundland and Labrador,8,August,4,0.0,0.0
1258,2009,Newfoundland and Labrador,9,September,8,2.8,0.35
1259,2010,Newfoundland and Labrador,0,Unspecified,3,956.549,318.8496666666667
1260,2010,Newfoundland and Labrador,10,October,3,0.0,0.0
1261,2010,Newfoundland and Labrador,11,November,1,2.0,2.0
1262,2010,Newfoundland and Labrador,3,March,2,0.8,0.4
1263,2010,Newfoundland and Labrador,4,April,7,14.8,2.1142857142857143
1264,2010,Newfoundland and Labrador,5,May,5,0.6,0.12
1265,2010,Newfoundland and Labrador,6,June,4,3.0,0.75
1266,2010,Newfoundland and Labrador,7,July,4,3.4,0.85
1267,2010,Newfoundland and Labrador,8,August,11,13.7,1.2454545454545454
1268,2010,Newfoundland and Labrador,9,September,6,0.4,0.06666666666666667
1269,2011,Newfoundland and Labrador,0,Unspecified,2,1.19574,0.59787
1270,2011,Newfoundland and Labrador,4,April,2,0.7,0.35
1271,2011,Newfoundland and Labrador,5,May,14,31.3,2.2357142857142858
1272,2011,Newfoundland and Labrador,6,June,5,0.3,0.06
1273,2011,Newfoundland and Labrador,7,July,5,0.0,0.0
1274,2011,Newfoundland and Labrador,8,August,9,387.41913,43.04657
1275,2011,Newfoundland and Labrador,9,September,4,4.7,1.175
1276,2012,Newfoundland and Labrador,0,Unspecified,23,25502.83854,1108.8190669565217
1277,2012,Newfoundland and Labrador,3,March,1,1.5,1.5
1278,2012,Newfoundland and Labrador,4,April,20,15.8,0.79
1279,2012,Newfoundland and Labrador,5,May,14,882.5,63.035714285714285
1280,2012,Newfoundland and Labrador,6,June,31,485.1,15.648387096774194
1281,2012,Newfoundland and Labrador,7,July,36,2359.848,65.55133333333333
1282,2012,Newfoundland and Labrador,8,August,9,5.99905,0.6665611111111112
1283,2012,Newfoundland and Labrador,9,September,4,29.1,7.275
1284,2013,Newfoundland and Labrador,0,Unspecified,2,30067.796,15033.898
1285,2013,Newfoundland and Labrador,10,October,2,22.5,11.25
1286,2013,Newfoundland and Labrador,4,April,7,4.9,0.7000000000000001
1287,2013,Newfoundland and Labrador,5,May,21,28.2,1.3428571428571427
1288,2013,Newfoundland and Labrador,6,June,10,0.8,0.08
1289,2013,Newfoundland and Labrador,7,July,22,19.3,0.8772727272727273
1290,2013,Newfoundland and Labrador,8,August,7,0.1,0.014285714285714287
1291,2014,Newfoundland and Labrador,0,Unspecified,1,8832.0,8832.0
1292,2015,Newfoundland and Labrador,5,May,2,0.8,0.4
1293,2015,Newfoundland and Labrador,6,June,21,3329.9,158.56666666666666
1294,2015,Newfoundland and Labrador,8,August,2,259.1,129.55
1295,2016,Newfoundland and Labrador,5,May,1,0.1,0.1
1296,2016,Newfoundland and Labrador,7,July,14,10603.0,757.3571428571429
1297,2016,Newfoundland and Labrador,8,August,2,0.2,0.1
1298,2017,Newfoundland and Labrador,10,October,4,15.1,3.775
1299,2017,Newfoundland and Labrador,11,November,6,0.2,0.03333333333333333
1300,2017,Newfoundland and Labrador,5,May,18,18.1,1.0055555555555555
1301,2017,Newfoundland and Labrador,6,June,22,622.5,28.295454545454547
1302,2017,Newfoundland and Labrador,7,July,18,38.8,2.1555555555555554
1303,2017,Newfoundland and Labrador,8,August,8,2.7,0.3375
1304,2017,Newfoundland and Labrador,9,September,4,2.4,0.6
1305,2018,Newfoundland and Labrador,0,Unspecified,1,0.0,0.0
1306,2018,Newfoundland and Labrador,10,October,3,0.8,0.26666666666666666
1307,2018,Newfoundland and Labrador,4,April,12,7.4,0.6166666666666667
1308,2018,Newfoundland and Labrador,5,May,41,71.1,1.7341463414634144
1309,2018,Newfoundland and Labrador,6,June,18,12.1,0.6722222222222222
1310,2018,Newfoundland and Labrador,7,July,19,285.8,15.042105263157895
1311,2018,Newfoundland and Labrador,8,August,24,7.2,0.3
1312,2018,Newfoundland and Labrador,9,September,14,11.1,0.7928571428571428
1313,2019,Newfoundland and Labrador,10,October,2,0.4,0.2
1314,2019,Newfoundland and Labrador,3,March,6,4.6,0.7666666666666666
1315,2019,Newfoundland and Labrador,4,April,1,0.2,0.2
1316,2019,Newfoundland and Labrador,5,May,44,75.6,1.718181818181818
1317,2019,Newfoundland and Labrador,6,June,8,0.7,0.0875
1318,2019,Newfoundland and Labrador,7,July,11,218.4,19.854545454545455
1319,2019,Newfoundland and Labrador,8,August,16,12.7,0.79375
1320,2019,Newfoundland and Labrador,9,September,11,3.4,0.3090909090909091
1321,1990,Nova Scotia,10,October,9,1.54,0.1711111111111111
1322,1990,Nova Scotia,11,November,1,0.04,0.04
1323,1990,Nova Scotia,3,March,34,103.73,3.0508823529411764
1324,1990,Nova Scotia,4,April,89,65.35,0.7342696629213482
1325,1990,Nova Scotia,5,May,134,262.61,1.9597761194029852
1326,1990,Nova Scotia,6,June,58,574.01,9.896724137931034
1327,1990,Nova Scotia,7,July,74,26.91,0.36364864864864865
1328,1990,Nova Scotia,8,August,62,29.01,0.46790322580645166
1329,1990,Nova Scotia,9,September,36,4.96,0.13777777777777778
1330,1991,Nova Scotia,10,October,1,0.01,0.01
1331,1991,Nova Scotia,3,March,26,133.63,5.139615384615384
1332,1991,Nova Scotia,4,April,208,285.12,1.3707692307692307
1333,1991,Nova Scotia,5,May,174,464.96,2.672183908045977
1334,1991,Nova Scotia,6,June,145,241.79,1.6675172413793102
1335,1991,Nova Scotia,7,July,162,646.95,3.9935185185185187
1336,1991,Nova Scotia,8,August,10,3.29,0.329
1337,1992,Nova Scotia,10,October,13,5.17,0.3976923076923077
1338,1992,Nova Scotia,4,April,43,93.28,2.1693023255813952
1339,1992,Nova Scotia,5,May,138,424.62,3.0769565217391306
1340,1992,Nova Scotia,6,June,46,614.59,13.360652173913044
1341,1992,Nova Scotia,7,July,19,10.22,0.5378947368421053
1342,1992,Nova Scotia,8,August,18,9.42,0.5233333333333333
1343,1992,Nova Scotia,9,September,19,2.31,0.12157894736842105
1344,1993,Nova Scotia,10,October,4,0.13,0.0325
1345,1993,Nova Scotia,4,April,78,177.24,2.2723076923076926
1346,1993,Nova Scotia,5,May,110,151.99,1.381727272727273
1347,1993,Nova Scotia,6,June,20,8.17,0.4085
1348,1993,Nova Scotia,7,July,21,3.2,0.1523809523809524
1349,1993,Nova Scotia,8,August,43,13.9,0.3232558139534884
1350,1993,Nova Scotia,9,September,26,13.28,0.5107692307692308
1351,1994,Nova Scotia,10,October,22,21.67,0.9850000000000001
1352,1994,Nova Scotia,11,November,14,87.34,6.238571428571428
1353,1994,Nova Scotia,3,March,1,0.2,0.2
1354,1994,Nova Scotia,4,April,63,71.62,1.136825396825397
1355,1994,Nova Scotia,5,May,33,18.56,0.5624242424242424
1356,1994,Nova Scotia,6,June,28,9.81,0.35035714285714287
1357,1994,Nova Scotia,7,July,57,14.59,0.25596491228070173
1358,1994,Nova Scotia,8,August,23,10.53,0.4578260869565217
1359,1994,Nova Scotia,9,September,22,8.12,0.3690909090909091
1360,1995,Nova Scotia,10,October,4,0.52,0.13
1361,1995,Nova Scotia,11,November,2,0.2,0.1
1362,1995,Nova Scotia,3,March,28,61.51,2.1967857142857143
1363,1995,Nova Scotia,4,April,80,81.34,1.01675
1364,1995,Nova Scotia,5,May,145,204.66,1.411448275862069
1365,1995,Nova Scotia,6,June,49,30.79,0.6283673469387755
1366,1995,Nova Scotia,7,July,26,4.23,0.16269230769230772
1367,1995,Nova Scotia,8,August,36,14.4,0.4
1368,1995,Nova Scotia,9,September,37,6.86,0.18540540540540543
1369,1996,Nova Scotia,10,October,3,0.56,0.18666666666666668
1370,1996,Nova Scotia,3,March,55,324.44,5.898909090909091
1371,1996,Nova Scotia,4,April,65,154.52,2.3772307692307693
1372,1996,Nova Scotia,5,May,66,95.1,1.440909090909091
1373,1996,Nova Scotia,6,June,45,59.85,1.33
1374,1996,Nova Scotia,7,July,9,0.37,0.04111111111111111
1375,1996,Nova Scotia,8,August,20,3.34,0.16699999999999998
1376,1996,Nova Scotia,9,September,7,1.04,0.14857142857142858
1377,1997,Nova Scotia,10,October,30,42.91,1.4303333333333332
1378,1997,Nova Scotia,3,March,1,1.5,1.5
1379,1997,Nova Scotia,4,April,44,56.18,1.2768181818181819
1380,1997,Nova Scotia,5,May,77,336.96,4.376103896103896
1381,1997,Nova Scotia,6,June,35,10.14,0.28971428571428576
1382,1997,Nova Scotia,7,July,108,100.11,0.9269444444444445
1383,1997,Nova Scotia,8,August,59,15.39,0.26084745762711864
1384,1997,Nova Scotia,9,September,16,1.97,0.123125
1385,1998,Nova Scotia,10,October,16,35.88,2.2425
1386,1998,Nova Scotia,3,March,20,21.88,1.0939999999999999
1387,1998,Nova Scotia,4,April,86,155.04,1.8027906976744186
1388,1998,Nova Scotia,5,May,91,108.49,1.1921978021978021
1389,1998,Nova Scotia,6,June,45,23.45,0.5211111111111111
1390,1998,Nova Scotia,7,July,19,11.5,0.6052631578947368
1391,1998,Nova Scotia,8,August,61,40.23,0.6595081967213114
1392,1998,Nova Scotia,9,September,8,0.26,0.0325
1393,1999,Nova Scotia,10,October,3,1.61,0.5366666666666667
1394,1999,Nova Scotia,11,November,7,98.01,14.001428571428573
1395,1999,Nova Scotia,3,March,23,77.49,3.3691304347826083
1396,1999,Nova Scotia,4,April,78,1366.09,17.51397435897436
